index,branch_lengths,dist,rep,quint
2,0.032989940388528954,41.77011343960846,16,3
3,0.05304544074346047,43.98300679641451,16,4
4,0.09641792898577414,42.836704659976235,16,5
0,0.007046060672768928,43.834308445644595,17,1
1,0.01713638565295967,43.13953910453579,17,2
2,0.032989940388529045,42.39420274393521,17,3
3,0.053045440743460605,43.3412020939542,17,4
4,0.09641792898577413,42.20843351100661,17,5
0,0.007046060672768923,42.479198343857476,18,1
1,0.0171363856529597,43.600683140743925,18,2
2,0.03298994038852899,41.25801783860777,18,3
3,0.05304544074346056,43.421042884583315,18,4
4,0.09641792898577409,44.14641538471626,18,5
0,0.007046060672768936,43.13130169918663,19,1
1,0.017136385652959725,42.98920581505625,19,2
2,0.032989940388529024,42.37256380642707,19,3
3,0.05304544074346054,43.22184700143069,19,4
4,0.09641792898577421,43.20688024810171,19,5
0,0.007046060672768936,42.56410191817469,20,1
1,0.017136385652959735,43.55635830271152,20,2
2,0.032989940388528975,43.469288590988775,20,3
3,0.05304544074346051,42.74235036428941,20,4
4,0.09641792898577392,42.5909680197577,20,5
0,0.00704606067276892,42.365754919684996,21,1
1,0.01713638565295975,43.05403903173851,21,2
2,0.03298994038852894,43.5518676813392,21,3
3,0.053045440743460605,43.64670498166515,21,4
4,0.096417928985774,42.31372893474801,21,5
0,0.0070460606727689315,42.355997944641985,22,1
1,0.017136385652959704,43.793007609858215,22,2
2,0.03298994038852898,42.85696980492259,22,3
3,0.053045440743460605,42.62620108124312,22,4
4,0.0964179289857742,43.28299407239024,22,5
0,0.007046060672768906,42.317653251512645,23,1
1,0.017136385652959694,42.33159422831356,23,2
2,0.03298994038852901,42.62106506511307,23,3
3,0.05304544074346056,43.88470277637448,23,4
4,0.09641792898577418,43.78122345358475,23,5
0,0.00704606067276893,43.54994221126461,24,1
1,0.01713638565295969,42.145047303944004,24,2
2,0.032989940388528954,43.38729001833927,24,3
3,0.0530454407434605,43.575098919288564,24,4
4,0.09641792898577431,42.28435581810379,24,5
0,0.007046060672768923,42.003649219822826,25,1
1,0.01713638565295971,43.252176604764365,25,2
2,0.032989940388528954,43.24699583514546,25,3
3,0.053045440743460556,43.09579358882125,25,4
4,0.09641792898577412,43.32900720990651,25,5
0,0.007046060672768922,43.2491784801745,26,1
1,0.01713638565295974,42.718517977352114,26,2
2,0.032989940388528954,42.82979025640056,26,3
3,0.053045440743460515,42.62262788547623,26,4
4,0.0964179289857741,43.509150228460975,26,5
0,0.007046060672768933,42.18508747305968,27,1
1,0.0171363856529597,43.19627675113773,27,2
2,0.032989940388528934,43.84587769151065,27,3
3,0.05304544074346063,42.26357882336883,27,4
4,0.09641792898577413,43.44184667443726,27,5
0,0.007046060672768936,43.50440066837337,28,1
1,0.017136385652959708,42.6760871754046,28,2
2,0.03298994038852899,43.89731042865908,28,3
3,0.05304544074346054,42.468632507564934,28,4
4,0.09641792898577417,42.391121866616594,28,5
0,0.007046060672768915,43.31907880453551,29,1
1,0.017136385652959704,44.357119381939505,29,2
2,0.032989940388529,42.0628220804525,29,3
3,0.05304544074346054,42.46699425046079,29,4
4,0.09641792898577405,42.69150624957967,29,5
0,0.007046060672768923,43.82770767942991,30,1
1,0.017136385652959708,41.980847062323356,30,2
2,0.03298994038852898,42.86793182118969,30,3
3,0.05304544074346053,43.60439476555452,30,4
4,0.0964179289857741,42.65859829629983,30,5
0,0.007046060672768928,42.87313641912604,31,1
1,0.017136385652959687,43.590562792315616,31,2
2,0.03298994038852904,43.13922789061544,31,3
3,0.05304544074346055,42.562900062217906,31,4
4,0.09641792898577403,42.753280329233796,31,5
0,0.007046060672768916,43.070809553089624,32,1
1,0.017136385652959715,42.28170344347982,32,2
2,0.03298994038852899,42.58515755574423,32,3
3,0.05304544074346041,43.43551873427676,32,4
4,0.09641792898577414,43.5614739588063,32,5
0,0.00704606067276893,43.681423919097234,33,1
1,0.01713638565295968,42.760168101848976,33,2
2,0.032989940388528885,42.35238833200259,33,3
3,0.05304544074346053,42.59139884935163,33,4
4,0.09641792898577406,43.53832095847758,33,5
0,0.007046060672768921,43.00045899122749,34,1
1,0.01713638565295971,43.433252486178525,34,2
2,0.03298994038852897,43.328646034801814,34,3
3,0.053045440743460494,42.071942402825215,34,4
4,0.09641792898577405,43.08838936986044,34,5
0,0.007046060672768926,42.71788112631651,35,1
1,0.01713638565295968,42.03400852396862,35,2
2,0.03298994038852896,44.05493216322706,35,3
3,0.053045440743460556,43.90327243402279,35,4
4,0.09641792898577413,42.24087251605874,35,5
0,0.007046060672768933,42.94675305855356,36,1
1,0.017136385652959715,42.95122625781463,36,2
2,0.03298994038852892,42.89452234481244,36,3
3,0.053045440743460535,43.54051273106544,36,4
4,0.09641792898577418,42.593957143510465,36,5
0,0.007046060672768926,42.74440574722377,37,1
1,0.01713638565295968,43.06114614510827,37,2
2,0.03298994038852899,43.21072441753031,37,3
3,0.05304544074346066,43.14634862324687,37,4
4,0.09641792898577414,42.765655571411045,37,5
0,0.007046060672768936,42.458564686175066,38,1
1,0.01713638565295971,43.0470822108476,38,2
2,0.032989940388528934,42.93435318308997,38,3
3,0.053045440743460535,43.16227019506072,38,4
4,0.09641792898577382,43.32486057773868,38,5
0,0.007046060672768924,43.24722417541172,39,1
1,0.017136385652959687,42.88745296383895,39,2
2,0.032989940388528975,43.02636997893825,39,3
3,0.053045440743460515,42.31213216510263,39,4
4,0.09641792898577403,43.45498861550956,39,5
0,0.007046060672768937,43.402789740595175,40,1
1,0.017136385652959694,42.1625334365412,40,2
2,0.03298994038852895,42.02555063231801,40,3
3,0.0530454407434606,43.32992890319894,40,4
4,0.09641792898577434,44.01043996432332,40,5
0,0.007046060672768927,42.362766787880346,41,1
1,0.017136385652959708,42.84107190777261,41,2
2,0.03298994038852895,43.136449302819784,41,3
3,0.053045440743460535,43.58542986045249,41,4
4,0.0964179289857739,43.00646796036117,41,5
0,0.007046060672768924,43.02085334561782,42,1
1,0.017136385652959687,42.86899153215552,42,2
2,0.032989940388529045,43.078900053697424,42,3
3,0.05304544074346052,43.26023587243937,42,4
4,0.09641792898577421,42.70050830871701,42,5
0,0.007046060672768917,43.42943233483443,43,1
1,0.017136385652959687,42.992621972234446,43,2
2,0.03298994038852893,43.11324135966041,43,3
3,0.053045440743460535,42.32207598320767,43,4
4,0.09641792898577407,43.06933127329294,43,5
0,0.007046060672768915,43.50582367571868,44,1
1,0.017136385652959645,42.30063081089318,44,2
2,0.032989940388528975,42.56719716945034,44,3
3,0.053045440743460584,42.895103726927545,44,4
4,0.09641792898577405,43.66427457108307,44,5
0,0.007046060672768932,43.32587595597012,45,1
1,0.01713638565295969,43.654554733258266,45,2
2,0.03298994038852891,43.58522368039829,45,3
3,0.05304544074346048,41.684782542893515,45,4
4,0.09641792898577402,42.6699049844825,45,5
0,0.0070460606727689125,42.87698225058462,46,1
1,0.017136385652959694,43.10794000414449,46,2
2,0.03298994038852895,43.364513962496,46,3
3,0.05304544074346057,43.1535083391952,46,4
4,0.09641792898577416,42.42544057042077,46,5
0,0.007046060672768936,43.31616783240294,47,1
1,0.017136385652959746,42.24589242183187,47,2
2,0.03298994038852901,42.91036012346937,47,3
3,0.05304544074346056,43.028541134278015,47,4
4,0.09641792898577407,43.43612204948222,47,5
0,0.007046060672768924,42.61568971203994,48,1
1,0.017136385652959715,43.799047528485396,48,2
2,0.032989940388529045,42.2543686984536,48,3
3,0.05304544074346061,42.98281160195304,48,4
4,0.09641792898577423,43.25774231280904,48,5
0,0.007046060672768924,42.27662923668833,49,1
1,0.01713638565295972,42.57744073910892,49,2
2,0.03298994038852898,43.17985461168439,49,3
3,0.053045440743460535,43.77184096625662,49,4
4,0.09641792898577416,43.131109653015976,49,5
0,0.00704606067276893,44.09528621557921,50,1
1,0.017136385652959676,42.082987199581645,50,2
2,0.032989940388528954,43.04356552350312,50,3
3,0.053045440743460376,42.27576977312702,50,4
4,0.09641792898577421,43.44091062712089,50,5
0,0.007046060672768925,42.90437111920023,51,1
1,0.017136385652959735,43.7139035203152,51,2
2,0.03298994038852897,42.955429110672604,51,3
3,0.05304544074346061,42.820670509622865,51,4
4,0.09641792898577435,42.52128873061783,51,5
0,0.007046060672768916,42.90872652219689,52,1
1,0.017136385652959645,42.9610535766655,52,2
2,0.032989940388528954,43.7093148109099,52,3
3,0.05304544074346053,43.3760932414233,52,4
4,0.09641792898577406,41.978091554501674,52,5
0,0.007046060672768927,42.693309244684,53,1
1,0.017136385652959704,42.45799976369131,53,2
2,0.03298994038852903,43.25034924616536,53,3
3,0.05304544074346048,43.025283391019414,53,4
4,0.09641792898577428,43.51119988606905,53,5
0,0.007046060672768927,43.74239459179632,54,1
1,0.017136385652959704,42.26861238544256,54,2
2,0.03298994038852896,43.76693400225079,54,3
3,0.053045440743460466,42.44315009732047,54,4
4,0.09641792898577428,42.72114710448914,54,5
0,0.007046060672768921,43.1759498144451,55,1
1,0.01713638565295969,43.074892133811026,55,2
2,0.03298994038852897,42.346563175472255,55,3
3,0.05304544074346047,42.76835822369758,55,4
4,0.096417928985774,43.55437242596343,55,5
0,0.007046060672768934,43.142480583212745,56,1
1,0.01713638565295968,43.13408045945424,56,2
2,0.032989940388528954,42.47874517809121,56,3
3,0.053045440743460626,43.03183727441659,56,4
4,0.09641792898577423,43.13319214345557,56,5
0,0.0070460606727689385,42.75025247545482,57,1
1,0.01713638565295973,43.22143796305822,57,2
2,0.03298994038852896,43.30537701391931,57,3
3,0.05304544074346063,43.205366763241415,57,4
4,0.09641792898577417,42.44406753343527,57,5
0,0.0070460606727689255,43.07897649236893,58,1
1,0.017136385652959732,43.62331368941502,58,2
2,0.03298994038852904,42.80013932198093,58,3
3,0.05304544074346055,43.096318771884,58,4
4,0.09641792898577416,42.316635915148744,58,5
0,0.007046060672768923,42.032086175530125,59,1
1,0.01713638565295971,42.434433908630595,59,2
2,0.032989940388528934,43.91577980211771,59,3
3,0.05304544074346049,43.41654936684113,59,4
4,0.09641792898577425,43.14667222203329,59,5
0,0.007046060672768919,42.45906643278266,60,1
1,0.01713638565295969,43.09137616101509,60,2
2,0.03298994038852892,42.806579732431736,60,3
3,0.05304544074346055,43.001111961166046,60,4
4,0.09641792898577436,43.567307188074324,60,5
0,0.007046060672768923,42.73674693249456,61,1
1,0.017136385652959735,42.744203395774555,61,2
2,0.03298994038852897,43.69909566139094,61,3
3,0.05304544074346055,43.05645864061283,61,4
4,0.09641792898577431,42.70055252294466,61,5
0,0.007046060672768933,43.95535602853282,62,1
1,0.017136385652959704,43.25276893875581,62,2
2,0.032989940388528934,42.763082293753925,62,3
3,0.05304544074346051,42.542083956988485,62,4
4,0.09641792898577418,42.40517249310876,62,5
0,0.007046060672768927,42.83311374432981,63,1
1,0.017136385652959676,41.93857868526836,63,2
2,0.032989940388528934,43.27359629636777,63,3
3,0.05304544074346054,42.74850354910225,63,4
4,0.09641792898577414,44.15225044496019,63,5
0,0.007046060672768927,43.111894467657166,64,1
1,0.01713638565295967,42.66718124578401,64,2
2,0.03298994038852899,43.69935941233004,64,3
3,0.053045440743460515,42.71535515741451,64,4
4,0.09641792898577396,42.74343775192933,64,5
0,0.0070460606727689315,43.316144699144694,65,1
1,0.017136385652959683,43.46525811330258,65,2
2,0.03298994038852897,42.96900164066477,65,3
3,0.05304544074346054,42.36141737692397,65,4
4,0.09641792898577412,42.80669294348984,65,5
0,0.007046060672768925,42.96156413506043,66,1
1,0.01713638565295969,43.378257949482624,66,2
2,0.03298994038852893,43.326854164681976,66,3
3,0.05304544074346054,42.93986495168125,66,4
4,0.09641792898577418,42.317099310050814,66,5
0,0.00704606067276892,42.74582114328781,67,1
1,0.01713638565295971,42.68482750366028,67,2
2,0.032989940388528996,43.53335421930078,67,3
3,0.053045440743460556,43.0576459091155,67,4
4,0.09641792898577413,42.91501679022195,67,5
0,0.007046060672768921,42.42730709551674,68,1
1,0.0171363856529597,43.42123301558186,68,2
2,0.03298994038852897,43.63410645497275,68,3
3,0.05304544074346055,42.437060115314395,68,4
4,0.09641792898577406,43.00713147937623,68,5
0,0.007046060672768918,43.537561488533456,69,1
1,0.01713638565295973,42.96131017366471,69,2
2,0.03298994038852897,43.877394093285,69,3
3,0.05304544074346056,42.200248285519415,69,4
4,0.09641792898577407,42.35634143968524,69,5
0,0.00704606067276893,43.071531829899456,70,1
1,0.017136385652959708,42.75141712814448,70,2
2,0.032989940388529,42.424449975241345,70,3
3,0.05304544074346059,43.23034641818204,70,4
4,0.09641792898577403,43.4483329339441,70,5
0,0.007046060672768922,42.86659529618322,71,1
1,0.01713638565295973,43.57489170254597,71,2
2,0.032989940388529024,42.192473562418805,71,3
3,0.05304544074346052,43.10731517453432,71,4
4,0.09641792898577417,43.17070795801486,71,5
0,0.007046060672768913,42.62969028005884,72,1
1,0.017136385652959683,42.69340409566739,72,2
2,0.032989940388528975,42.33311132145192,72,3
3,0.053045440743460556,43.20390548986161,72,4
4,0.09641792898577424,44.0673763389815,72,5
0,0.007046060672768925,43.068236483807425,73,1
1,0.01713638565295969,43.759057123629795,73,2
2,0.03298994038852901,43.08987674428621,73,3
3,0.05304544074346056,41.734169226821926,73,4
4,0.09641792898577442,43.26421657162229,73,5
0,0.007046060672768938,43.27105101142377,74,1
1,0.0171363856529597,42.64111910607553,74,2
2,0.03298994038852894,43.342085547186954,74,3
3,0.05304544074346059,43.075731729684264,74,4
4,0.09641792898577413,42.60442169525581,74,5
0,0.0070460606727689255,43.74595197660154,75,1
1,0.01713638565295971,42.98566273882332,75,2
2,0.03298994038852902,42.198169170872795,75,3
3,0.053045440743460556,42.80587761858397,75,4
4,0.09641792898577398,43.18313929300453,75,5
0,0.007046060672768923,44.29228521222654,76,1
1,0.017136385652959715,42.56427019244667,76,2
2,0.03298994038852896,42.48460871659419,76,3
3,0.05304544074346058,43.10414571792722,76,4
4,0.09641792898577423,42.48079652061917,76,5
0,0.007046060672768938,42.24122302035718,77,1
1,0.017136385652959704,43.29392284674716,77,2
2,0.03298994038852901,43.005306592371376,77,3
3,0.05304544074346061,42.722409830776144,77,4
4,0.096417928985774,43.66156901072449,77,5
0,0.007046060672768934,43.13731922623222,78,1
1,0.017136385652959735,43.14595622473371,78,2
2,0.032989940388528996,43.20259395713171,78,3
3,0.053045440743460674,42.45968379532322,78,4
4,0.09641792898577403,42.98025862674967,78,5
0,0.007046060672768922,43.06685765777082,79,1
1,0.01713638565295972,43.06788296975327,79,2
2,0.03298994038852894,43.73580952411884,79,3
3,0.05304544074346062,42.775562461662204,79,4
4,0.0964179289857742,42.28527146317971,79,5
0,0.007046060672768933,42.27799401981607,80,1
1,0.01713638565295973,42.85894902022888,80,2
2,0.032989940388529045,43.47445272439944,80,3
3,0.0530454407434606,42.48324124394015,80,4
4,0.09641792898577409,43.840140308355615,80,5
0,0.007046060672768925,42.877357565401894,81,1
1,0.01713638565295971,43.182306247763755,81,2
2,0.03298994038852896,42.75110275352806,81,3
3,0.05304544074346046,42.94296484674101,81,4
4,0.09641792898577424,43.16870663000827,81,5
0,0.007046060672768929,42.64087627583292,82,1
1,0.017136385652959704,44.366115601096176,82,2
2,0.03298994038852891,42.835800597339066,82,3
3,0.053045440743460556,42.83621374430488,82,4
4,0.0964179289857742,42.22627222554407,82,5
0,0.007046060672768923,42.99542928058441,83,1
1,0.017136385652959697,42.68299881710599,83,2
2,0.03298994038852894,44.05417319484379,83,3
3,0.0530454407434606,42.533067303001474,83,4
4,0.09641792898577418,42.67440149006137,83,5
0,0.007046060672768914,43.19389397023199,84,1
1,0.017136385652959704,43.26522204577519,84,2
2,0.032989940388528975,42.370637447165734,84,3
3,0.053045440743460535,42.512859168431255,84,4
4,0.0964179289857741,43.5746917423714,84,5
0,0.007046060672768917,43.22318347040521,85,1
1,0.01713638565295972,43.61930765127414,85,2
2,0.03298994038852898,42.854731305013864,85,3
3,0.0530454407434605,42.54787708455787,85,4
4,0.09641792898577418,42.670376018298334,85,5
0,0.007046060672768932,42.92697231600432,86,1
1,0.017136385652959683,43.596059648472426,86,2
2,0.032989940388528954,42.03402233112752,86,3
3,0.05304544074346055,42.9580731645753,86,4
4,0.09641792898577413,43.39512349225447,86,5
0,0.007046060672768922,41.98562110316017,87,1
1,0.017136385652959718,44.303438769709835,87,2
2,0.032989940388528996,42.9598915128108,87,3
3,0.05304544074346056,42.218606983537576,87,4
4,0.0964179289857741,43.441470459876335,87,5
0,0.007046060672768923,43.493087984058896,88,1
1,0.017136385652959676,43.68475286108414,88,2
2,0.03298994038852894,41.99828355142521,88,3
3,0.05304544074346059,42.973726387142094,88,4
4,0.09641792898577417,42.75717858887419,88,5
0,0.0070460606727689255,42.798607366417855,89,1
1,0.017136385652959635,42.53891234229821,89,2
2,0.03298994038852893,43.34596817389779,89,3
3,0.05304544074346054,42.52508122005174,89,4
4,0.09641792898577405,43.72876596056906,89,5
0,0.0070460606727689185,42.91774455666269,90,1
1,0.0171363856529597,42.898045511737,90,2
2,0.032989940388528975,42.838421834606905,90,3
3,0.05304544074346057,43.11039123364466,90,4
4,0.09641792898577425,43.16284039896965,90,5
0,0.007046060672768927,43.02246642854721,91,1
1,0.01713638565295971,43.27097968089866,91,2
2,0.032989940388528954,42.41179696748259,91,3
3,0.05304544074346061,42.74681255050404,91,4
4,0.0964179289857742,43.46595205884288,91,5
0,0.007046060672768922,43.18882759233907,92,1
1,0.01713638565295971,43.19444100963439,92,2
2,0.032989940388528954,43.1834750566959,92,3
3,0.05304544074346064,42.49663549937913,92,4
4,0.09641792898577414,42.86138514839985,92,5
0,0.007046060672768912,43.55585010831907,93,1
1,0.0171363856529597,42.92894488796625,93,2
2,0.032989940388529,43.70118896460555,93,3
3,0.053045440743460584,42.73299230419752,93,4
4,0.09641792898577414,42.012959160898845,93,5
0,0.007046060672768931,42.440737294059595,94,1
1,0.01713638565295967,43.33917889969951,94,2
2,0.032989940388528975,42.60334213765874,94,3
3,0.05304544074346054,44.041449142738784,94,4
4,0.09641792898577442,42.49533227694697,94,5
0,0.007046060672768928,42.99199088116259,95,1
1,0.017136385652959687,43.3877275725915,95,2
2,0.032989940388528954,41.79039038793562,95,3
3,0.053045440743460515,43.22683494164343,95,4
4,0.09641792898577413,43.51447808977769,95,5
0,0.007046060672768936,42.27921362785234,96,1
1,0.017136385652959715,43.625122293432646,96,2
2,0.03298994038852897,43.38749494638628,96,3
3,0.05304544074346056,42.53222963502507,96,4
4,0.09641792898577418,43.09808005811753,96,5
0,0.007046060672768918,43.56412541598968,97,1
1,0.017136385652959694,42.44949256441898,97,2
2,0.032989940388528954,43.283845423108225,97,3
3,0.0530454407434605,42.3654566584732,97,4
4,0.09641792898577413,43.27321769853096,97,5
0,0.007046060672768924,43.53558306192097,98,1
1,0.01713638565295968,42.393270475208304,98,2
2,0.03298994038852901,42.478962918545335,98,3
3,0.05304544074346053,43.85771631001879,98,4
4,0.09641792898577403,42.66528136131686,98,5
0,0.007046060672768936,43.00471677125455,99,1
1,0.017136385652959735,43.29333020603285,99,2
2,0.03298994038852904,42.5149441646493,99,3
3,0.05304544074346059,43.081210422100085,99,4
4,0.09641792898577427,43.02431097879712,99,5
0,0.007046060672768917,43.41205928549341,100,1
1,0.017136385652959663,42.41700035891164,100,2
2,0.03298994038852893,43.119511614895664,100,3
3,0.05304544074346058,42.46251560045306,100,4
4,0.09641792898577416,43.524694524920825,100,5
0,0.007046060672768933,43.21368371365545,101,1
1,0.017136385652959704,43.74572790654816,101,2
2,0.03298994038852895,42.76723207995144,101,3
3,0.05304544074346053,42.792266505964854,101,4
4,0.09641792898577413,42.39393623808537,101,5
0,0.007046060672768923,43.23760257771141,102,1
1,0.01713638565295969,42.98524122317883,102,2
2,0.03298994038852902,43.19651890286244,102,3
3,0.053045440743460556,42.87255720853696,102,4
4,0.096417928985774,42.63607610054331,102,5
0,0.007046060672768923,43.4414932566322,103,1
1,0.017136385652959687,43.24207242452015,103,2
2,0.032989940388528996,42.669076723042295,103,3
3,0.053045440743460494,43.48499175516385,103,4
4,0.09641792898577428,42.08167799758824,103,5
0,0.007046060672768919,42.40674007413589,104,1
1,0.017136385652959715,42.82872566862231,104,2
2,0.032989940388528996,43.34136588114704,104,3
3,0.05304544074346052,43.88040458789491,104,4
4,0.09641792898577418,42.4766198756116,104,5
0,0.0070460606727689255,42.4055008109156,105,1
1,0.017136385652959697,44.19248765214126,105,2
2,0.03298994038852893,42.076430881938705,105,3
3,0.053045440743460584,43.59094520335134,105,4
4,0.09641792898577409,42.63734680898368,105,5
0,0.007046060672768931,43.376690222524125,106,1
1,0.017136385652959687,42.93276276859933,106,2
2,0.03298994038852897,42.89594928927161,106,3
3,0.05304544074346056,42.11019515093996,106,4
4,0.09641792898577416,43.610489475557486,106,5
0,0.007046060672768929,43.028655060150534,107,1
1,0.01713638565295971,42.60569044254077,107,2
2,0.03298994038852895,43.235345014149566,107,3
3,0.053045440743460535,43.00785918288299,107,4
4,0.09641792898577428,43.0572468893087,107,5
0,0.007046060672768929,44.90402439311658,108,1
1,0.01713638565295972,43.31566710403156,108,2
2,0.032989940388528954,42.494954326768145,108,3
3,0.05304544074346047,41.824571717600584,108,4
4,0.09641792898577412,42.37356066102006,108,5
0,0.007046060672768915,42.90743198798505,109,1
1,0.017136385652959708,42.87481533656872,109,2
2,0.032989940388528996,42.51705223371539,109,3
3,0.05304544074346054,43.75106549711608,109,4
4,0.09641792898577407,42.87496210490416,109,5
0,0.007046060672768921,42.68663840992227,110,1
1,0.017136385652959704,43.332879895707144,110,2
2,0.032989940388528885,41.96520327496154,110,3
3,0.053045440743460646,43.31992482263706,110,4
4,0.09641792898577423,43.60983593565655,110,5
0,0.007046060672768924,43.014754858715314,111,1
1,0.01713638565295967,43.10031110918258,111,2
2,0.032989940388528954,42.26043305333073,111,3
3,0.05304544074346055,43.087544312002244,111,4
4,0.09641792898577396,43.456467709775474,111,5
0,0.007046060672768918,42.54113387166772,112,1
1,0.017136385652959694,43.25708922788238,112,2
2,0.03298994038852891,42.76462171741595,112,3
3,0.05304544074346058,42.93666932844361,112,4
4,0.09641792898577412,43.42278830520381,112,5
0,0.007046060672768921,42.48284352736833,113,1
1,0.017136385652959697,43.185227733793916,113,2
2,0.03298994038852889,43.046164156770836,113,3
3,0.05304544074346063,43.115523713616504,113,4
4,0.09641792898577418,43.09602163679395,113,5
0,0.007046060672768915,43.78274002588041,114,1
1,0.017136385652959715,43.00011671348982,114,2
2,0.03298994038852893,42.25258677266021,114,3
3,0.05304544074346054,42.46870847391721,114,4
4,0.09641792898577417,43.41474653373567,114,5
0,0.007046060672768923,43.726508501410756,115,1
1,0.0171363856529597,42.543436583490106,115,2
2,0.032989940388529024,42.618058834993434,115,3
3,0.053045440743460515,43.488905879760786,115,4
4,0.09641792898577412,42.552120679012404,115,5
0,0.007046060672768925,43.40152891135052,116,1
1,0.017136385652959656,43.34745448151703,116,2
2,0.03298994038852892,42.81783424506686,116,3
3,0.053045440743460515,42.214781251288485,116,4
4,0.09641792898577421,43.137339552261786,116,5
0,0.0070460606727689185,42.53961631700703,117,1
1,0.017136385652959735,42.42360507391504,117,2
2,0.03298994038852896,42.57560398113275,117,3
3,0.05304544074346053,44.182813312439485,117,4
4,0.09641792898577424,43.21219853667723,117,5
0,0.007046060672768924,43.3211398622264,118,1
1,0.017136385652959704,44.02227637340082,118,2
2,0.03298994038852896,42.484062694709245,118,3
3,0.05304544074346057,42.458541241300495,118,4
4,0.09641792898577398,42.620006050304184,118,5
0,0.007046060672768923,43.79797785778613,119,1
1,0.01713638565295971,42.22900281424335,119,2
2,0.03298994038852899,43.451209342115796,119,3
3,0.0530454407434605,42.302365563888515,119,4
4,0.09641792898577398,43.15968439610741,119,5
0,0.007046060672768929,42.8463294981819,120,1
1,0.01713638565295969,43.30646708676355,120,2
2,0.032989940388529024,42.341121424689106,120,3
3,0.05304544074346044,43.75369324362458,120,4
4,0.09641792898577418,42.66977631624492,120,5
0,0.007046060672768923,43.33367661578704,121,1
1,0.017136385652959753,42.52670586297698,121,2
2,0.03298994038852894,43.01253271444764,121,3
3,0.05304544074346056,42.672481367379056,121,4
4,0.09641792898577418,43.38805424472289,121,5
0,0.007046060672768912,44.45211924251757,122,1
1,0.017136385652959687,43.218122501799925,122,2
